id,title,text,author,label
N0697,You need to see this about the economy,Doctors HATE this one trick about the economy that big companies don't want you to know.,Unknown,0
N0668,You need to see this about the education system,"This miracle cure for the education system was banned by the government, sources say.",Unknown,0
N0064,Update on the new vaccine,The company released its quarterly earnings report showing growth in the new vaccine.,Real Author,1
N0534,You need to see this about climate change,Doctors HATE this one trick about climate change that big companies don't want you to know.,Unknown,0
N0067,Update on the housing market,A new report from the health ministry outlines updated guidelines for the housing market.,Real Author,1
N0622,You need to see this about renewable energy,"BREAKING: Aliens confirmed to be behind the renewable energy conspiracy, insiders claim.",Unknown,0
N0347,Update on artificial intelligence,The stock market showed a moderate change following news about artificial intelligence.,Real Author,1
N0491,You need to see this about the education system,"Celebrity secretly reveals the education system is a total hoax, fans are furious.",Unknown,0
N0761,You need to see this about cryptocurrency,"Celebrity secretly reveals cryptocurrency is a total hoax, fans are furious.",Unknown,0
N0457,You need to see this about cryptocurrency,"Celebrity secretly reveals cryptocurrency is a total hoax, fans are furious.",Unknown,0
N0066,Update on climate change,Officials confirmed that the climate change project will proceed as planned next quarter.,Real Author,1
N0287,Update on the housing market,Officials confirmed that the the housing market project will proceed as planned next quarter.,Real Author,1
N0636,You need to see this about the education system,"BREAKING: Aliens confirmed to be behind the the education system conspiracy, insiders claim.",Unknown,0
N0068,Update on renewable energy,A new report from the health ministry outlines updated guidelines for renewable energy.,Real Author,1
N0328,Update on the housing market,A new report from the health ministry outlines updated guidelines for the housing market.,Real Author,1
N0396,Update on cryptocurrency,The company released its quarterly earnings report showing growth in cryptocurrency.,Real Author,1
N0245,Update on cryptocurrency,A new report from the health ministry outlines updated guidelines for cryptocurrency.,Real Author,1
N0378,Update on artificial intelligence,The government announced a new policy on artificial intelligence today after a cabinet meeting.,Real Author,1
N0611,You need to see this about the election,"This miracle cure for the election was banned by the government, sources say.",Unknown,0
N0527,You need to see this about the election,"This miracle cure for the election was banned by the government, sources say.",Unknown,0
N0659,You need to see this about the election,Experts are TERRIFIED after new claims about the election go viral overnight.,Unknown,0
N0530,You need to see this about cryptocurrency,Doctors HATE this one trick about cryptocurrency that big companies don't want you to know.,Unknown,0
N0623,You need to see this about space exploration,"Celebrity secretly reveals space exploration is a total hoax, fans are furious.",Unknown,0
